# ID z up gp rp ip zp Y J H K IRAC_1 IRAC_2 up_err gp_err rp_err ip_err zp_err Y_err J_err H_err K_err IRAC_1_err IRAC_2_err 
2745 0.360 23.166 22.767 22.281 22.379 22.001 22.065 21.818 21.849 21.743 26.370 26.370 0.017 0.024 0.018 0.019 0.016 0.017 0.015 0.015 0.014 -1.000 -1.000
2754 0.380 24.529 23.422 22.331 21.940 21.712 21.427 21.073 20.785 20.624 21.368 21.484 0.038 0.036 0.019 0.016 0.014 0.013 0.012 0.011 0.011 0.019 0.021
2763 0.400 26.109 24.022 22.293 21.613 21.219 20.969 20.625 20.287 20.080 20.759 20.960 0.101 0.052 0.019 0.014 0.012 0.012 0.011 0.011 0.011 0.015 0.016
2772 0.420 24.471 23.476 22.257 21.831 21.612 21.320 20.975 20.648 20.488 21.101 21.381 0.035 0.036 0.018 0.015 0.014 0.013 0.012 0.011 0.011 0.017 0.019
2781 0.440 24.485 23.477 22.250 21.805 21.566 21.329 20.964 20.610 20.444 21.009 21.307 0.035 0.037 0.018 0.015 0.014 0.013 0.012 0.011 0.011 0.016 0.018
2790 0.460 24.373 23.527 22.250 21.777 21.540 21.286 20.917 20.563 20.436 20.897 21.233 0.035 0.037 0.018 0.015 0.014 0.013 0.012 0.011 0.011 0.016 0.018
2799 0.480 26.060 23.996 22.354 21.371 20.980 20.696 20.367 19.968 19.795 20.200 20.577 0.120 0.050 0.019 0.013 0.012 0.011 0.011 0.010 0.010 0.012 0.014
2808 0.500 23.013 22.806 22.324 21.959 22.102 21.640 21.844 21.626 21.586 26.370 26.370 0.016 0.024 0.019 0.016 0.017 0.014 0.015 0.014 0.014 -1.000 -1.000
2817 0.520 23.759 23.265 22.273 21.769 21.592 21.444 21.232 21.021 20.946 21.269 21.691 0.024 0.032 0.018 0.015 0.014 0.013 0.012 0.012 0.012 0.018 0.023
2826 0.560 26.249 23.869 22.306 21.114 20.728 20.407 20.073 19.596 19.462 19.660 20.161 0.122 0.048 0.019 0.012 0.011 0.011 0.011 0.010 0.010 0.011 0.012
2835 0.580 26.215 23.823 22.286 21.060 20.637 20.318 19.964 19.506 19.330 19.492 20.018 0.116 0.047 0.018 0.012 0.011 0.011 0.010 0.010 0.010 0.011 0.012
2844 0.600 24.281 23.643 22.306 21.611 21.336 21.143 20.759 20.302 20.176 20.318 20.847 0.032 0.039 0.019 0.014 0.013 0.012 0.011 0.011 0.011 0.013 0.015
2853 0.640 23.005 22.836 22.243 21.838 21.769 21.650 21.416 21.123 21.109 21.333 21.835 0.016 0.025 0.018 0.015 0.015 0.014 0.013 0.012 0.012 0.019 0.024
2862 0.820 22.699 22.596 22.272 21.688 21.448 21.427 21.228 20.889 20.736 20.850 21.338 0.014 0.021 0.018 0.014 0.013 0.013 0.012 0.012 0.011 0.015 0.019
2871 0.060 23.126 22.551 22.406 22.147 21.973 21.788 21.774 21.691 21.930 22.686 23.228 0.017 0.021 0.019 0.017 0.016 0.015 0.015 0.014 0.016 0.043 0.060
2880 0.080 23.046 22.542 22.409 22.158 22.222 22.056 22.007 21.946 22.088 26.370 26.370 0.016 0.020 0.020 0.017 0.018 0.016 0.016 0.016 0.017 -1.000 -1.000
2889 0.120 23.063 22.526 22.451 22.039 22.161 21.935 21.978 21.927 21.979 26.370 26.370 0.016 0.021 0.020 0.017 0.017 0.016 0.016 0.015 0.016 -1.000 -1.000
2898 0.140 23.065 22.608 22.369 22.097 22.213 22.032 22.007 21.911 21.989 26.370 26.370 0.017 0.022 0.019 0.017 0.018 0.016 0.016 0.016 0.016 -1.000 -1.000
2907 0.160 23.262 22.736 22.408 22.251 22.291 22.174 22.065 21.986 22.034 26.370 26.370 0.018 0.023 0.019 0.018 0.018 0.017 0.016 0.016 0.016 -1.000 -1.000
2916 0.180 23.241 22.790 22.418 22.288 22.315 22.238 22.096 22.060 22.074 26.370 26.370 0.018 0.024 0.020 0.018 0.019 0.018 0.016 0.016 0.017 -1.000 -1.000
2925 0.220 23.214 22.751 22.373 22.236 22.282 22.219 21.880 21.955 21.942 26.370 26.370 0.018 0.024 0.019 0.018 0.018 0.018 0.015 0.016 0.016 -1.000 -1.000
2934 0.240 23.437 22.895 22.391 22.294 22.081 21.955 21.723 21.719 21.711 22.414 22.871 0.020 0.025 0.019 0.018 0.017 0.016 0.014 0.014 0.014 0.036 0.045
2943 0.260 23.466 22.945 22.347 22.287 22.159 21.973 21.742 21.712 21.695 22.426 22.794 0.020 0.026 0.019 0.019 0.017 0.016 0.014 0.014 0.014 0.036 0.045
2952 0.280 23.527 23.010 22.434 22.331 22.187 21.999 21.760 21.736 21.702 22.453 22.748 0.020 0.026 0.020 0.019 0.017 0.016 0.015 0.014 0.014 0.036 0.044
2961 0.300 23.472 22.917 22.366 22.298 22.091 21.935 21.681 21.649 21.614 22.345 22.641 0.020 0.026 0.019 0.018 0.017 0.016 0.014 0.014 0.014 0.034 0.041
2970 0.300 23.383 22.987 22.457 22.430 22.174 22.306 22.116 22.074 21.986 26.370 26.370 0.019 0.027 0.020 0.020 0.017 0.018 0.017 0.017 0.016 -1.000 -1.000
2979 0.320 23.311 22.920 22.436 22.390 22.180 22.257 22.024 21.969 21.898 26.370 26.370 0.019 0.026 0.019 0.020 0.017 0.018 0.016 0.016 0.015 -1.000 -1.000
2988 0.340 23.425 22.936 22.380 22.264 22.129 21.978 21.690 21.641 21.589 22.266 22.611 0.020 0.027 0.019 0.018 0.017 0.016 0.014 0.014 0.014 0.033 0.039
2997 0.360 23.944 23.312 22.396 22.058 21.857 21.721 21.552 21.409 21.234 21.982 22.184 0.027 0.032 0.019 0.017 0.015 0.015 0.014 0.013 0.012 0.027 0.031
3006 0.360 23.268 22.839 22.381 22.498 22.099 22.193 21.896 21.930 21.816 26.370 26.370 0.018 0.025 0.019 0.020 0.017 0.017 0.015 0.016 0.015 -1.000 -1.000
3015 0.380 23.360 23.001 22.352 22.254 22.102 21.938 21.707 21.566 21.508 22.219 22.474 0.019 0.027 0.019 0.018 0.017 0.016 0.014 0.014 0.013 0.031 0.036
3024 0.400 23.407 22.982 22.374 22.160 22.085 21.932 21.651 21.531 21.487 22.197 22.419 0.019 0.027 0.019 0.018 0.017 0.016 0.014 0.014 0.013 0.030 0.035
3033 0.420 23.328 23.038 22.399 22.132 22.079 21.911 21.654 21.513 21.462 22.088 22.372 0.019 0.027 0.019 0.017 0.017 0.016 0.014 0.013 0.013 0.029 0.034
3042 0.440 23.336 23.009 22.341 22.117 22.069 21.883 21.680 21.473 21.415 22.049 22.297 0.019 0.027 0.019 0.017 0.016 0.015 0.014 0.013 0.013 0.028 0.033
3051 0.480 23.913 23.337 22.404 21.934 21.765 21.599 21.423 21.232 21.103 21.543 21.897 0.026 0.034 0.019 0.016 0.015 0.014 0.013 0.012 0.012 0.021 0.025
3060 0.500 26.500 24.048 22.417 21.412 21.038 20.731 20.415 19.988 19.824 20.140 20.579 0.132 0.053 0.020 0.013 0.012 0.011 0.011 0.010 0.010 0.012 0.014
3069 0.500 23.301 23.124 22.399 22.064 22.028 21.874 21.664 21.417 21.399 21.896 22.192 0.018 0.028 0.019 0.017 0.016 0.015 0.014 0.013 0.013 0.025 0.031
3078 0.520 23.249 23.033 22.371 22.049 22.036 21.861 21.650 21.410 21.373 21.782 22.157 0.018 0.028 0.019 0.016 0.016 0.015 0.014 0.013 0.013 0.024 0.030
3087 0.540 24.494 23.744 22.444 21.839 21.567 21.358 21.003 20.573 20.435 20.726 21.144 0.037 0.043 0.020 0.015 0.014 0.013 0.012 0.011 0.011 0.015 0.017
3096 0.560 24.379 23.687 22.363 21.730 21.463 21.243 20.861 20.423 20.314 20.590 21.033 0.034 0.041 0.019 0.014 0.013 0.012 0.012 0.011 0.011 0.014 0.016
3105 0.580 24.350 23.642 22.390 21.734 21.445 21.249 20.870 20.436 20.286 20.510 20.983 0.034 0.042 0.019 0.014 0.013 0.012 0.012 0.011 0.011 0.013 0.016
3114 0.580 23.245 23.129 22.452 22.056 22.044 21.896 21.665 21.363 21.368 21.754 22.097 0.018 0.029 0.020 0.017 0.016 0.015 0.014 0.013 0.013 0.023 0.029
3123 0.640 24.382 23.686 22.424 21.651 21.434 21.186 20.809 20.331 20.169 20.281 20.831 0.033 0.042 0.020 0.014 0.013 0.012 0.011 0.011 0.011 0.013 0.015
3132 0.660 24.196 23.640 22.343 21.562 21.267 21.050 20.681 20.203 20.033 20.098 20.671 0.030 0.039 0.019 0.014 0.013 0.012 0.011 0.011 0.011 0.012 0.014
3141 0.700 24.119 23.522 22.357 21.495 21.176 20.954 20.616 20.145 19.917 19.935 20.544 0.029 0.038 0.019 0.013 0.012 0.012 0.011 0.011 0.010 0.012 0.013
3150 0.780 23.997 23.524 22.448 21.455 21.060 20.808 20.493 20.000 19.737 19.721 20.236 0.027 0.037 0.020 0.013 0.012 0.011 0.011 0.010 0.010 0.011 0.012
3159 0.060 23.246 22.672 22.492 22.282 22.092 21.921 21.880 21.815 22.032 22.814 23.333 0.018 0.023 0.020 0.018 0.017 0.016 0.015 0.015 0.016 0.046 0.065
3168 0.100 23.289 22.629 22.433 22.231 22.041 21.897 21.778 21.737 21.881 22.641 23.172 0.019 0.022 0.020 0.018 0.017 0.015 0.015 0.015 0.016 0.042 0.057
3177 0.120 23.045 22.556 22.469 22.097 22.189 21.962 21.983 21.923 22.008 26.370 26.370 0.016 0.021 0.020 0.017 0.018 0.016 0.016 0.016 0.016 -1.000 -1.000
3186 0.140 23.237 22.755 22.535 22.251 22.359 22.173 22.147 22.066 22.135 26.370 26.370 0.018 0.024 0.021 0.018 0.019 0.017 0.017 0.017 0.017 -1.000 -1.000
3195 0.180 23.543 22.907 22.554 22.343 22.250 22.049 21.856 21.849 21.910 22.675 22.908 0.021 0.025 0.021 0.019 0.018 0.016 0.015 0.015 0.015 0.041 0.053
3204 0.220 24.638 23.264 22.527 22.181 21.930 21.680 21.318 21.201 21.071 21.831 22.175 0.039 0.032 0.021 0.017 0.016 0.014 0.013 0.012 0.012 0.025 0.030
3213 0.240 24.603 23.363 22.529 22.168 21.913 21.663 21.321 21.194 21.011 21.839 22.102 0.039 0.033 0.021 0.017 0.016 0.014 0.013 0.012 0.012 0.025 0.028
3222 0.260 23.418 22.982 22.480 22.389 22.258 22.337 22.160 22.123 22.017 26.370 26.370 0.020 0.027 0.020 0.020 0.018 0.019 0.017 0.017 0.016 -1.000 -1.000
3231 0.280 23.604 23.061 22.527 22.482 22.256 22.114 21.835 21.830 21.795 22.513 22.882 0.022 0.028 0.021 0.020 0.018 0.017 0.015 0.015 0.015 0.038 0.047
3240 0.300 23.483 23.088 22.598 22.528 22.295 22.416 22.217 22.183 22.049 26.370 26.370 0.020 0.028 0.021 0.021 0.018 0.019 0.018 0.017 0.017 -1.000 -1.000
3249 0.320 23.489 23.014 22.538 22.609 22.196 22.359 22.018 22.092 22.030 26.370 26.370 0.020 0.027 0.021 0.022 0.018 0.019 0.016 0.017 0.016 -1.000 -1.000
3258 0.340 24.155 23.359 22.476 22.226 22.039 21.881 21.716 21.579 21.403 22.209 22.422 0.030 0.034 0.020 0.018 0.016 0.015 0.014 0.014 0.013 0.030 0.034
3267 0.340 23.414 22.939 22.489 22.588 22.178 22.282 21.964 22.003 21.951 26.370 26.370 0.019 0.026 0.020 0.021 0.017 0.018 0.016 0.016 0.016 -1.000 -1.000
3276 0.360 24.641 23.552 22.493 22.100 21.837 21.585 21.235 20.976 20.764 21.536 21.738 0.041 0.038 0.020 0.017 0.015 0.014 0.012 0.012 0.011 0.021 0.023
3285 0.380 23.473 23.045 22.477 22.336 22.181 22.025 21.763 21.659 21.609 22.327 22.614 0.020 0.029 0.020 0.019 0.018 0.016 0.015 0.014 0.014 0.033 0.039
3294 0.380 23.301 23.016 22.488 22.412 22.214 22.190 22.044 21.984 21.888 26.370 26.370 0.019 0.027 0.020 0.020 0.018 0.018 0.016 0.016 0.015 -1.000 -1.000
3303 0.400 23.213 22.871 22.515 22.346 22.109 22.134 21.964 21.889 21.777 26.370 26.370 0.018 0.025 0.020 0.019 0.017 0.017 0.016 0.015 0.015 -1.000 -1.000
3312 0.420 23.261 23.046 22.528 22.275 22.213 22.199 22.076 21.907 21.854 26.370 26.370 0.018 0.028 0.021 0.018 0.018 0.018 0.017 0.016 0.015 -1.000 -1.000
3321 0.460 26.417 24.133 22.467 21.624 21.242 20.942 20.597 20.232 20.046 20.503 20.850 0.131 0.057 0.020 0.014 0.012 0.012 0.011 0.011 0.011 0.013 0.015
3330 0.460 23.268 23.073 22.484 22.191 22.209 22.102 22.067 21.916 21.864 26.370 26.370 0.018 0.028 0.021 0.018 0.018 0.017 0.017 0.015 0.015 -1.000 -1.000
3339 0.500 24.005 23.394 22.467 22.004 21.831 21.673 21.467 21.307 21.174 21.593 21.974 0.027 0.036 0.020 0.016 0.015 0.014 0.013 0.013 0.012 0.021 0.026
3348 0.520 23.399 23.132 22.488 22.139 22.092 21.966 21.717 21.442 21.483 21.892 22.276 0.019 0.030 0.020 0.017 0.017 0.016 0.014 0.013 0.013 0.026 0.032
3357 0.540 24.569 23.818 22.554 21.940 21.673 21.470 21.098 20.669 20.533 20.838 21.257 0.039 0.046 0.021 0.016 0.014 0.013 0.012 0.011 0.011 0.015 0.018
3366 0.560 23.353 23.188 22.533 22.160 22.121 21.972 21.723 21.467 21.458 21.819 22.178 0.019 0.030 0.020 0.017 0.017 0.016 0.015 0.013 0.013 0.025 0.031
3375 0.580 24.535 23.773 22.465 21.776 21.533 21.282 20.948 20.479 20.335 20.556 21.028 0.036 0.043 0.020 0.015 0.014 0.013 0.012 0.011 0.011 0.014 0.016
3384 0.580 23.087 22.978 22.434 22.110 22.201 21.850 21.955 21.742 21.703 26.370 26.370 0.017 0.027 0.020 0.017 0.018 0.015 0.016 0.015 0.014 -1.000 -1.000
3393 0.640 26.182 24.043 22.477 21.074 20.658 20.250 19.904 19.440 19.232 19.304 19.861 0.115 0.053 0.020 0.012 0.011 0.011 0.010 0.010 0.010 0.011 0.012
3402 0.680 24.299 23.672 22.506 21.641 21.354 21.119 20.764 20.285 20.111 20.169 20.712 0.032 0.042 0.020 0.014 0.013 0.012 0.011 0.011 0.011 0.012 0.014
3411 0.720 23.160 22.997 22.533 22.255 21.885 22.134 21.966 21.604 21.674 21.794 26.370 0.017 0.027 0.021 0.018 0.015 0.017 0.016 0.014 0.014 0.024 -1.000
3420 0.880 22.830 22.731 22.484 21.845 21.629 21.571 21.357 21.049 20.863 20.901 21.337 0.015 0.023 0.020 0.015 0.014 0.014 0.013 0.012 0.012 0.016 0.019
3429 0.080 23.193 22.611 22.576 22.257 22.325 22.173 22.128 22.056 22.206 26.370 26.370 0.017 0.022 0.021 0.018 0.019 0.017 0.017 0.017 0.018 -1.000 -1.000
3438 0.120 23.169 22.629 22.647 22.219 22.328 22.126 22.119 22.070 22.160 26.370 26.370 0.018 0.023 0.022 0.018 0.019 0.017 0.017 0.017 0.017 -1.000 -1.000
3447 0.140 23.478 22.914 22.648 22.422 22.519 22.409 22.261 22.225 22.310 26.370 26.370 0.020 0.026 0.022 0.020 0.020 0.019 0.018 0.018 0.019 -1.000 -1.000
3456 0.160 23.373 22.981 22.647 22.400 22.494 22.322 22.237 22.213 22.253 26.370 26.370 0.019 0.026 0.022 0.020 0.020 0.019 0.018 0.018 0.018 -1.000 -1.000
3465 0.180 23.499 22.997 22.643 22.472 22.511 22.436 22.278 22.244 22.266 26.370 26.370 0.021 0.027 0.022 0.020 0.021 0.020 0.018 0.018 0.018 -1.000 -1.000
3474 0.200 23.502 23.005 22.632 22.479 22.503 22.456 22.316 22.252 22.246 26.370 26.370 0.021 0.027 0.022 0.020 0.021 0.020 0.019 0.018 0.018 -1.000 -1.000
3483 0.220 23.478 23.009 22.613 22.436 22.493 22.443 22.130 22.218 22.173 26.370 26.370 0.020 0.027 0.022 0.020 0.020 0.020 0.017 0.018 0.017 -1.000 -1.000
3492 0.240 24.569 23.431 22.547 22.204 21.947 21.693 21.346 21.226 21.073 21.911 22.137 0.041 0.034 0.021 0.018 0.016 0.014 0.013 0.012 0.012 0.025 0.029
3501 0.260 24.703 23.386 22.585 22.202 21.968 21.746 21.357 21.189 21.039 21.923 22.091 0.042 0.036 0.021 0.018 0.016 0.014 0.013 0.012 0.012 0.025 0.029
3510 0.260 23.643 23.060 22.565 22.449 22.305 22.142 21.928 21.904 21.875 22.602 22.896 0.022 0.028 0.021 0.020 0.019 0.017 0.015 0.015 0.015 0.040 0.050
3519 0.260 23.551 23.122 22.637 22.506 22.400 22.424 22.244 22.217 22.162 26.370 26.370 0.021 0.029 0.022 0.021 0.019 0.020 0.018 0.018 0.017 -1.000 -1.000
3528 0.300 23.509 23.035 22.548 22.534 22.300 22.400 22.232 22.171 22.114 26.370 26.370 0.020 0.029 0.021 0.021 0.018 0.019 0.018 0.017 0.017 -1.000 -1.000
3537 0.300 23.546 23.154 22.629 22.641 22.363 22.476 22.250 22.219 22.149 26.370 26.370 0.021 0.030 0.022 0.022 0.019 0.020 0.018 0.018 0.017 -1.000 -1.000
3546 0.320 23.505 23.086 22.638 22.723 22.293 22.436 22.099 22.223 22.114 26.370 26.370 0.021 0.029 0.022 0.023 0.018 0.020 0.017 0.018 0.017 -1.000 -1.000
3555 0.340 23.646 23.245 22.573 22.539 22.326 22.192 21.948 21.855 21.796 22.544 22.809 0.022 0.031 0.022 0.021 0.019 0.018 0.016 0.015 0.015 0.038 0.045
3564 0.360 23.709 23.199 22.602 22.544 22.407 22.215 21.951 21.849 21.777 22.471 22.742 0.022 0.031 0.022 0.021 0.019 0.018 0.016 0.015 0.015 0.037 0.044
3573 0.380 23.637 23.279 22.619 22.514 22.330 22.189 21.942 21.798 21.765 22.445 22.741 0.022 0.032 0.022 0.020 0.019 0.018 0.016 0.015 0.015 0.036 0.043
3582 0.400 23.581 23.149 22.617 22.389 22.297 22.119 21.892 21.750 21.697 22.348 22.564 0.021 0.031 0.022 0.019 0.018 0.017 0.015 0.015 0.014 0.034 0.040
3591 0.420 23.584 23.226 22.597 22.369 22.297 22.133 21.861 21.724 21.671 22.259 22.537 0.021 0.031 0.021 0.019 0.018 0.017 0.015 0.014 0.014 0.033 0.039
3600 0.440 23.467 23.172 22.587 22.266 22.221 22.065 21.834 21.645 21.594 22.215 22.558 0.020 0.030 0.021 0.018 0.018 0.017 0.015 0.014 0.014 0.031 0.037
3609 0.460 26.182 24.237 22.516 21.711 21.317 21.029 20.689 20.292 20.134 20.594 20.889 0.139 0.061 0.021 0.014 0.013 0.012 0.011 0.011 0.011 0.014 0.016
3618 0.460 23.517 23.323 22.605 22.298 22.254 22.115 21.887 21.688 21.645 22.207 22.526 0.021 0.032 0.022 0.019 0.018 0.017 0.015 0.014 0.014 0.031 0.037
3627 0.480 24.665 23.834 22.582 22.062 21.813 21.580 21.188 20.827 20.670 21.119 21.455 0.042 0.046 0.021 0.016 0.015 0.014 0.012 0.011 0.011 0.017 0.020
3636 0.500 26.610 24.286 22.626 21.604 21.210 20.923 20.592 20.160 19.997 20.342 20.786 0.150 0.060 0.022 0.014 0.012 0.012 0.011 0.011 0.010 0.013 0.015
3645 0.500 23.287 23.048 22.636 22.257 22.341 21.908 22.103 21.890 21.864 26.370 26.370 0.018 0.028 0.022 0.018 0.019 0.015 0.017 0.015 0.015 -1.000 -1.000
3654 0.520 23.504 23.270 22.604 22.247 22.215 22.058 21.812 21.575 21.567 22.039 22.359 0.020 0.032 0.021 0.018 0.018 0.017 0.015 0.014 0.014 0.027 0.034
3663 0.540 24.157 23.611 22.642 22.130 21.953 21.815 21.594 21.374 21.273 21.577 22.014 0.029 0.040 0.022 0.017 0.016 0.015 0.014 0.013 0.013 0.021 0.027
3672 0.560 24.676 23.893 22.600 21.966 21.707 21.457 21.090 20.699 20.547 20.788 21.253 0.040 0.048 0.022 0.016 0.014 0.013 0.012 0.011 0.011 0.015 0.018
3681 0.560 23.235 23.159 22.642 22.245 22.325 22.002 22.103 21.933 21.851 26.370 26.370 0.018 0.030 0.022 0.018 0.019 0.016 0.017 0.016 0.015 -1.000 -1.000
3690 0.580 23.307 23.138 22.590 22.241 22.419 21.921 22.111 21.768 21.860 26.370 26.370 0.018 0.029 0.022 0.018 0.020 0.016 0.017 0.015 0.015 -1.000 -1.000
3699 0.600 23.425 23.326 22.635 22.218 22.176 22.079 21.816 21.527 21.509 21.842 22.206 0.020 0.032 0.022 0.018 0.018 0.017 0.015 0.014 0.014 0.025 0.032
3708 0.620 23.348 23.237 22.555 22.142 22.121 21.950 21.740 21.440 21.410 21.670 22.170 0.019 0.030 0.021 0.017 0.017 0.016 0.015 0.013 0.013 0.023 0.029
3717 0.640 23.305 23.174 22.595 22.120 22.084 21.989 21.733 21.439 21.392 21.703 22.149 0.019 0.030 0.021 0.017 0.017 0.016 0.015 0.013 0.013 0.022 0.029
3726 0.680 24.366 23.751 22.593 21.709 21.435 21.215 20.850 20.349 20.164 20.210 20.811 0.034 0.044 0.021 0.014 0.013 0.012 0.012 0.011 0.011 0.012 0.015
3735 0.720 23.146 23.047 22.573 22.041 21.848 21.865 21.622 21.298 21.241 21.390 21.935 0.017 0.028 0.021 0.017 0.015 0.015 0.014 0.013 0.012 0.019 0.025
3744 0.800 23.031 22.934 22.542 22.011 21.753 21.736 21.505 21.191 21.072 21.177 21.670 0.016 0.026 0.021 0.016 0.015 0.015 0.014 0.012 0.012 0.017 0.022
3753 0.040 23.396 22.909 22.690 22.657 22.631 22.445 22.404 22.333 22.572 26.370 26.370 0.019 0.026 0.023 0.022 0.022 0.020 0.020 0.019 0.021 -1.000 -1.000
3762 0.080 23.269 22.736 22.659 22.404 22.436 22.291 22.234 22.171 22.311 26.370 26.370 0.018 0.023 0.022 0.019 0.020 0.018 0.018 0.017 0.019 -1.000 -1.000
3771 0.120 23.605 23.000 22.708 22.485 22.368 22.138 22.041 22.019 22.152 22.866 23.313 0.022 0.026 0.023 0.021 0.019 0.017 0.016 0.016 0.017 0.048 0.066
3780 0.120 23.427 22.807 22.678 22.379 22.468 22.291 22.267 22.224 22.318 26.370 26.370 0.020 0.024 0.022 0.019 0.020 0.019 0.018 0.018 0.018 -1.000 -1.000
3789 0.140 23.489 22.886 22.659 22.436 22.501 22.416 22.310 22.234 22.293 26.370 26.370 0.020 0.026 0.022 0.020 0.020 0.019 0.018 0.018 0.019 -1.000 -1.000
3798 0.180 23.670 23.117 22.777 22.585 22.643 22.532 22.373 22.324 22.370 26.370 26.370 0.022 0.029 0.023 0.021 0.022 0.021 0.019 0.019 0.019 -1.000 -1.000
3807 0.200 23.575 23.084 22.716 22.542 22.596 22.548 22.378 22.298 22.301 26.370 26.370 0.022 0.029 0.023 0.021 0.022 0.021 0.019 0.019 0.019 -1.000 -1.000
3816 0.220 23.524 23.033 22.659 22.536 22.592 22.497 22.185 22.272 22.253 26.370 26.370 0.021 0.028 0.022 0.021 0.021 0.020 0.018 0.018 0.018 -1.000 -1.000
3825 0.240 23.794 23.190 22.722 22.647 22.448 22.316 22.031 22.053 22.073 22.775 23.168 0.024 0.030 0.023 0.022 0.020 0.018 0.016 0.016 0.016 0.044 0.057
3834 0.240 23.545 23.104 22.649 22.618 22.506 22.545 22.359 22.300 22.246 26.370 26.370 0.021 0.029 0.022 0.021 0.021 0.021 0.019 0.018 0.018 -1.000 -1.000
3843 0.260 23.775 23.181 22.682 22.593 22.450 22.299 22.011 22.014 22.013 22.753 23.031 0.024 0.031 0.023 0.022 0.020 0.018 0.016 0.016 0.016 0.043 0.054
3852 0.280 23.668 23.088 22.627 22.641 22.319 22.559 22.142 22.310 22.233 26.370 26.370 0.022 0.029 0.022 0.022 0.019 0.021 0.017 0.018 0.018 -1.000 -1.000
3861 0.300 24.897 23.671 22.777 22.381 22.093 21.854 21.486 21.291 21.102 21.915 22.125 0.047 0.041 0.023 0.019 0.017 0.015 0.013 0.013 0.012 0.026 0.029
3870 0.300 23.736 23.196 22.663 22.592 22.419 22.266 21.979 21.938 21.955 22.630 23.067 0.023 0.031 0.022 0.021 0.020 0.018 0.016 0.016 0.016 0.041 0.050
3879 0.320 23.760 23.305 22.740 22.614 22.490 22.296 22.067 22.024 21.950 22.721 22.928 0.024 0.033 0.023 0.022 0.020 0.019 0.016 0.016 0.016 0.042 0.050
3888 0.340 23.762 23.285 22.720 22.594 22.439 22.285 22.037 21.969 21.898 22.650 22.909 0.024 0.033 0.023 0.022 0.020 0.018 0.016 0.016 0.015 0.040 0.048
3897 0.360 26.219 24.400 22.639 22.026 21.706 21.433 21.083 20.782 20.548 21.310 21.486 0.115 0.064 0.023 0.016 0.014 0.013 0.012 0.011 0.011 0.019 0.020
3906 0.360 23.615 23.289 22.700 22.747 22.459 22.516 22.322 22.282 22.194 26.370 26.370 0.022 0.032 0.023 0.023 0.020 0.021 0.019 0.018 0.017 -1.000 -1.000
3915 0.380 23.719 23.348 22.755 22.651 22.461 22.312 22.020 21.926 21.887 22.562 22.825 0.024 0.034 0.023 0.022 0.020 0.018 0.016 0.016 0.015 0.039 0.046
3924 0.400 23.495 23.186 22.683 22.586 22.411 22.414 22.273 22.193 22.050 26.370 26.370 0.021 0.031 0.023 0.021 0.019 0.019 0.018 0.017 0.017 -1.000 -1.000
3933 0.420 23.588 23.242 22.672 22.392 22.311 22.174 21.944 21.783 21.700 22.373 22.697 0.022 0.032 0.022 0.020 0.019 0.017 0.016 0.015 0.014 0.034 0.040
3942 0.440 24.817 23.939 22.643 22.180 21.976 21.732 21.365 21.011 20.868 21.400 21.679 0.046 0.048 0.022 0.018 0.016 0.014 0.013 0.012 0.012 0.019 0.023
3951 0.440 23.445 23.193 22.658 22.366 22.383 22.336 22.221 22.045 21.997 26.370 26.370 0.020 0.030 0.022 0.019 0.019 0.019 0.018 0.017 0.016 -1.000 -1.000
3960 0.460 23.420 23.152 22.725 22.408 22.416 22.276 22.170 22.063 21.990 26.370 26.370 0.020 0.030 0.023 0.019 0.020 0.018 0.018 0.017 0.016 -1.000 -1.000
3969 0.480 24.795 24.020 22.735 22.200 21.982 21.752 21.364 20.980 20.847 21.322 21.628 0.047 0.051 0.023 0.018 0.016 0.015 0.013 0.012 0.012 0.018 0.022
3978 0.500 24.789 23.919 22.662 22.129 21.865 21.645 21.254 20.882 20.739 21.113 21.480 0.044 0.049 0.022 0.017 0.015 0.014 0.013 0.012 0.011 0.017 0.021
3987 0.520 26.636 24.259 22.651 21.608 21.230 20.897 20.585 20.132 19.991 20.282 20.714 0.158 0.062 0.023 0.014 0.012 0.012 0.011 0.011 0.010 0.013 0.014
3996 0.520 24.265 23.778 22.775 22.270 22.076 21.911 21.707 21.516 21.385 21.765 22.241 0.032 0.043 0.023 0.018 0.017 0.016 0.014 0.013 0.013 0.024 0.030
4005 0.540 23.542 23.433 22.664 22.342 22.335 22.167 21.933 21.658 21.626 22.019 22.411 0.021 0.034 0.022 0.019 0.019 0.017 0.016 0.014 0.014 0.028 0.035
4014 0.560 23.573 23.364 22.729 22.351 22.308 22.221 21.954 21.688 21.667 22.027 22.423 0.021 0.035 0.023 0.019 0.019 0.018 0.016 0.014 0.014 0.028 0.035
4023 0.580 24.677 23.951 22.650 22.005 21.745 21.520 21.165 20.699 20.570 20.794 21.281 0.041 0.050 0.023 0.016 0.015 0.014 0.012 0.011 0.011 0.015 0.018
4032 0.580 23.307 23.230 22.719 22.329 22.402 22.070 22.185 22.013 21.955 26.370 26.370 0.019 0.031 0.023 0.019 0.020 0.017 0.017 0.016 0.016 -1.000 -1.000
4041 0.600 23.299 23.273 22.706 22.348 22.421 22.090 22.176 21.943 21.922 26.370 26.370 0.018 0.031 0.023 0.019 0.020 0.017 0.017 0.016 0.016 -1.000 -1.000
